course_name,QID376_p
INTRO Fall 2016,Female
INTRO Fall 2017,
INTRO Fall 2014,Male
INTRO Fall 2015,Female
INTRO Fall 2016,Male
INTRO Spring 2017,Male
INTRO Summer 2017,Male
INTRO Fall 2015,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Male
INTRO Fall 2014,Female
INTRO Fall 2015,Female
INTRO Summer 2018,Male
INTRO Fall 2017,Female
INTRO Fall 2014,Male
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2015,Female
INTRO Summer 2018,Female
INTRO Fall 2015,Male
INTRO Fall 2016,Male
INTRO Spring 2017,Female
INTRO Fall 2014,Female
INTRO Fall 2015,Female
INTRO Fall 2015,Male
INTRO Fall 2014,Female
INTRO Spring 2017,Female
INTRO Fall 2014,Female
INTRO Fall 2015,Male
INTRO Fall 2015,Male
INTRO Fall 2014,Male
INTRO Fall 2016,Female
INTRO Fall 2015,
INTRO Fall 2016,Male
INTRO Fall 2014,Male
INTRO Fall 2016,Female
INTRO Summer 2018,Female
INTRO Spring 2017,Male
INTRO Fall 2014,Female
INTRO Fall 2016,Female
INTRO Fall 2014,Male
INTRO Fall 2014,Female
INTRO Fall 2016,Female
INTRO Fall 2015,Female
INTRO Summer 2017,Female
INTRO Fall 2014,Female
INTRO Spring 2017,Male
INTRO Fall 2014,Male
INTRO Fall 2014,Female
INTRO Fall 2015,Female
INTRO Fall 2015,
INTRO Fall 2015,Female
INTRO Fall 2014,Female
INTRO Fall 2016,Male
INTRO Fall 2014,Female
INTRO Fall 2015,Female
INTRO Fall 2014,Male
INTRO Fall 2014,Female
INTRO Fall 2016,Male
INTRO Fall 2017,Male
INTRO Fall 2015,Female
INTRO Summer 2017,Male
INTRO Fall 2017,Male
INTRO Fall 2014,Female
INTRO Summer 2018,Female
INTRO Summer 2017,Female
INTRO Fall 2015,Male
INTRO Summer 2018,Female
INTRO Fall 2015,Male
INTRO Summer 2018,Male
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Male
INTRO Fall 2014,Female
INTRO Fall 2016,Male
INTRO Fall 2014,Male
INTRO Fall 2014,Female
INTRO Summer 2017,Male
INTRO Fall 2015,Female
INTRO Fall 2016,Male
INTRO Summer 2018,Female
INTRO Summer 2017,Male
INTRO Summer 2017,Female
INTRO Fall 2014,Male
INTRO Spring 2017,Female
INTRO Spring 2017,Male
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Summer 2017,Female
INTRO Fall 2014,Female
INTRO Fall 2015,Male
INTRO Fall 2014,
INTRO Fall 2014,Female
INTRO Summer 2018,Male
INTRO Summer 2018,Male
INTRO Summer 2017,Female
INTRO Fall 2014,Female
INTRO Fall 2015,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Male
INTRO Fall 2015,Female
INTRO Fall 2015,Male
INTRO Fall 2015,Female
INTRO Fall 2015,Female
INTRO Fall 2015,Female
INTRO Summer 2018,Female
INTRO Fall 2015,Female
INTRO Summer 2018,Female
INTRO Fall 2014,
INTRO Fall 2016,Female
INTRO Fall 2016,Female
INTRO Fall 2014,Female
INTRO Fall 2015,Female
INTRO Fall 2015,Female
INTRO Fall 2016,Male
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2016,Female
INTRO Fall 2015,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Summer 2018,Male
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2016,Female
INTRO Fall 2017,Female
INTRO Fall 2015,Female
INTRO Summer 2018,Female
INTRO Fall 2015,Female
INTRO Fall 2015,Male
INTRO Fall 2015,Male
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Summer 2017,
INTRO Fall 2014,Male
INTRO Fall 2015,Female
INTRO Summer 2018,Male
INTRO Fall 2015,Male
INTRO Spring 2017,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2015,Male
INTRO Spring 2017,Male
INTRO Fall 2015,Male
INTRO Fall 2014,Female
INTRO Fall 2016,
INTRO Summer 2017,Female
INTRO Summer 2017,Female
INTRO Fall 2015,Female
INTRO Fall 2015,Female
INTRO Summer 2017,Male
INTRO Fall 2016,
INTRO Fall 2014,Female
INTRO Fall 2017,Male
INTRO Fall 2015,Male
INTRO Fall 2016,
INTRO Fall 2015,Female
INTRO Fall 2016,Female
INTRO Fall 2016,Male
INTRO Fall 2015,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2017,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Male
INTRO Summer 2017,Female
INTRO Summer 2018,Male
INTRO Fall 2016,Male
INTRO Spring 2017,Female
INTRO Fall 2016,Female
INTRO Fall 2016,
INTRO Fall 2014,
INTRO Fall 2014,Male
INTRO Fall 2014,Male
INTRO Fall 2014,Female
INTRO Fall 2014,Male
INTRO Summer 2017,Female
INTRO Summer 2017,Male
INTRO Summer 2018,Female
INTRO Fall 2016,Female
INTRO Fall 2015,Male
INTRO Fall 2017,Female
INTRO Fall 2014,Male
INTRO Fall 2017,Female
INTRO Fall 2015,Female
INTRO Fall 2014,Female
INTRO Fall 2016,Female
INTRO Fall 2017,Female
INTRO Summer 2017,Female
INTRO Summer 2017,Female
INTRO Fall 2014,Male
INTRO Fall 2015,Male
INTRO Fall 2016,Female
INTRO Fall 2015,Male
INTRO Fall 2015,Female
INTRO Spring 2017,Female
INTRO Summer 2018,Male
INTRO Fall 2014,Male
INTRO Fall 2015,Female
INTRO Summer 2017,Female
INTRO Fall 2014,Male
INTRO Fall 2014,Female
INTRO Summer 2017,Female
INTRO Summer 2017,Male
INTRO Fall 2016,Female
INTRO Fall 2014,Male
INTRO Fall 2015,Female
INTRO Summer 2018,Male
INTRO Summer 2017,Male
INTRO Fall 2017,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Male
INTRO Fall 2014,Female
INTRO Fall 2016,Female
INTRO Summer 2017,Female
INTRO Fall 2015,Female
INTRO Fall 2015,Female
INTRO Summer 2018,Female
INTRO Fall 2014,Male
INTRO Summer 2017,Female
INTRO Fall 2014,Female
INTRO Fall 2015,Female
INTRO Summer 2017,Male
INTRO Spring 2017,Female
INTRO Fall 2015,Male
INTRO Spring 2017,Male
INTRO Fall 2017,Male
INTRO Fall 2014,Male
INTRO Summer 2018,Female
INTRO Fall 2017,
INTRO Fall 2016,Female
INTRO Fall 2017,Female
INTRO Fall 2015,Male
INTRO Spring 2017,Female
INTRO Fall 2014,Male
INTRO Fall 2017,Female
INTRO Fall 2014,Male
INTRO Summer 2018,Female
INTRO Summer 2018,Male
INTRO Summer 2017,Female
INTRO Fall 2014,Male
INTRO Fall 2017,Female
INTRO Fall 2017,Female
INTRO Fall 2017,Male
INTRO Spring 2017,Female
INTRO Spring 2017,Female
INTRO Summer 2018,Female
INTRO Fall 2016,Male
INTRO Fall 2015,Female
INTRO Fall 2017,
INTRO Summer 2018,Female
INTRO Fall 2014,Male
INTRO Fall 2014,Female
INTRO Fall 2015,Female
INTRO Spring 2017,Female
INTRO Fall 2015,Male
INTRO Fall 2014,Male
INTRO Summer 2018,Female
INTRO Fall 2015,Female
INTRO Fall 2014,Male
INTRO Fall 2016,Female
INTRO Summer 2018,Male
INTRO Fall 2015,Female
INTRO Summer 2017,Male
INTRO Fall 2016,Male
INTRO Summer 2018,Male
INTRO Fall 2015,Female
INTRO Fall 2016,Female
INTRO Fall 2016,Female
INTRO Fall 2017,Male
INTRO Summer 2017,Male
INTRO Fall 2014,Female
INTRO Fall 2017,Female
INTRO Fall 2014,Female
INTRO Spring 2017,Female
INTRO Summer 2017,Male
INTRO Fall 2014,Male
INTRO Spring 2017,Female
INTRO Fall 2014,Male
INTRO Fall 2015,Male
INTRO Fall 2015,Female
INTRO Fall 2016,Male
INTRO Fall 2014,Male
INTRO Fall 2014,Male
INTRO Fall 2014,Female
INTRO Fall 2016,Male
INTRO Fall 2016,Male
INTRO Fall 2014,Female
INTRO Spring 2017,Male
INTRO Fall 2016,Male
INTRO Fall 2014,Male
INTRO Fall 2016,Female
INTRO Fall 2014,Male
INTRO Fall 2015,Female
INTRO Fall 2014,Male
INTRO Fall 2015,Male
INTRO Summer 2018,Male
INTRO Fall 2016,Female
INTRO Fall 2014,Female
INTRO Spring 2017,Female
INTRO Fall 2016,Male
INTRO Fall 2015,Female
INTRO Fall 2015,Male
INTRO Summer 2017,Male
INTRO Fall 2016,Female
INTRO Fall 2015,Female
INTRO Fall 2014,Male
INTRO Fall 2014,Female
INTRO Spring 2017,Female
INTRO Fall 2015,Female
INTRO Spring 2017,Female
INTRO Fall 2015,Male
INTRO Summer 2017,
INTRO Fall 2014,Female
INTRO Fall 2014,Male
INTRO Fall 2015,Female
INTRO Fall 2014,Female
INTRO Summer 2017,Male
INTRO Fall 2014,Male
INTRO Fall 2014,Male
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Summer 2018,Female
INTRO Fall 2014,Female
INTRO Fall 2016,Female
INTRO Fall 2016,Female
INTRO Fall 2014,Female
INTRO Fall 2015,Female
INTRO Fall 2014,Female
INTRO Fall 2016,Female
INTRO Summer 2018,Female
INTRO Fall 2016,
INTRO Fall 2015,Female
INTRO Fall 2014,Male
INTRO Fall 2015,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2015,Male
INTRO Fall 2014,Female
INTRO Fall 2016,Female
INTRO Fall 2014,Female
INTRO Fall 2016,Female
INTRO Fall 2015,Male
INTRO Fall 2017,Female
INTRO Fall 2017,Female
INTRO Fall 2014,Female
INTRO Fall 2016,Male
INTRO Summer 2018,Male
INTRO Fall 2015,Female
INTRO Fall 2016,Male
INTRO Summer 2017,Female
INTRO Fall 2017,Female
INTRO Fall 2015,Male
INTRO Fall 2016,
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Summer 2017,Female
INTRO Fall 2015,Female
INTRO Summer 2017,Male
INTRO Fall 2016,Male
INTRO Fall 2015,Male
INTRO Spring 2017,Female
INTRO Fall 2014,Female
INTRO Fall 2015,Female
INTRO Fall 2014,Female
INTRO Fall 2015,Female
INTRO Fall 2014,Male
INTRO Summer 2017,Female
INTRO Spring 2017,Female
INTRO Spring 2017,Female
INTRO Fall 2016,
INTRO Fall 2015,Female
INTRO Fall 2015,Female
INTRO Fall 2017,Male
INTRO Fall 2016,Male
INTRO Fall 2015,Female
INTRO Summer 2017,Female
INTRO Fall 2014,Male
INTRO Fall 2015,Female
INTRO Fall 2014,Male
INTRO Fall 2014,Female
INTRO Summer 2017,Female
INTRO Spring 2017,Male
INTRO Fall 2017,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2015,Male
INTRO Fall 2014,Male
INTRO Summer 2018,Female
INTRO Fall 2016,Female
INTRO Fall 2015,Female
INTRO Summer 2018,Male
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2016,Male
INTRO Summer 2017,Female
INTRO Summer 2018,Female
INTRO Fall 2015,Female
INTRO Fall 2015,Female
INTRO Summer 2017,Female
INTRO Fall 2014,Male
INTRO Fall 2014,Male
INTRO Fall 2014,Female
INTRO Fall 2014,Male
INTRO Fall 2014,Female
INTRO Fall 2014,Male
INTRO Spring 2017,Female
INTRO Fall 2014,Male
INTRO Fall 2014,Male
INTRO Spring 2017,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2016,Male
INTRO Summer 2017,Female
INTRO Summer 2018,Female
INTRO Summer 2018,Female
INTRO Summer 2018,Male
INTRO Fall 2014,Female
INTRO Fall 2017,Female
INTRO Summer 2017,
INTRO Fall 2015,Female
INTRO Fall 2014,Female
INTRO Fall 2016,Female
INTRO Fall 2016,Female
INTRO Fall 2015,Male
INTRO Fall 2017,Male
INTRO Fall 2016,Female
INTRO Summer 2018,Female
INTRO Fall 2014,Female
INTRO Summer 2018,Male
INTRO Fall 2017,Male
INTRO Fall 2014,Male
INTRO Fall 2015,Male
INTRO Fall 2014,Female
INTRO Fall 2015,Female
INTRO Spring 2017,Female
INTRO Fall 2015,Female
INTRO Fall 2015,
INTRO Fall 2014,Male
INTRO Summer 2017,Female
INTRO Fall 2014,Female
INTRO Fall 2016,Male
INTRO Fall 2015,Male
INTRO Fall 2016,Female
INTRO Fall 2016,Female
INTRO Fall 2015,Female
INTRO Fall 2014,Female
INTRO Fall 2016,Female
INTRO Fall 2015,Male
INTRO Fall 2015,Female
INTRO Fall 2014,Female
INTRO Fall 2016,Male
INTRO Fall 2017,Female
INTRO Fall 2015,Female
INTRO Fall 2015,Male
INTRO Fall 2017,Female
INTRO Fall 2015,Female
INTRO Summer 2017,Male
INTRO Fall 2014,Male
INTRO Fall 2014,Male
INTRO Fall 2014,
INTRO Summer 2018,Female
INTRO Spring 2017,Male
INTRO Fall 2014,Male
INTRO Spring 2017,Male
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2017,Male
INTRO Summer 2017,
INTRO Fall 2014,Male
INTRO Fall 2014,Female
INTRO Fall 2014,Male
INTRO Fall 2015,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Male
INTRO Fall 2014,Male
INTRO Fall 2015,Female
INTRO Spring 2017,Female
INTRO Fall 2014,Female
INTRO Summer 2017,Male
INTRO Spring 2017,Female
INTRO Fall 2014,Female
INTRO Fall 2015,Male
INTRO Summer 2017,Female
INTRO Fall 2014,Female
INTRO Spring 2017,Male
INTRO Fall 2016,Female
INTRO Summer 2018,Female
INTRO Fall 2017,Female
INTRO Fall 2016,Female
INTRO Fall 2015,Female
INTRO Fall 2016,Female
INTRO Fall 2015,Male
INTRO Fall 2014,Male
INTRO Fall 2015,Male
INTRO Fall 2014,Female
INTRO Fall 2016,Male
INTRO Fall 2015,Male
INTRO Fall 2016,Female
INTRO Fall 2014,Female
INTRO Fall 2016,
INTRO Fall 2016,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Male
INTRO Spring 2017,Female
INTRO Fall 2015,Female
INTRO Fall 2015,Male
INTRO Summer 2018,Female
INTRO Summer 2018,Female
INTRO Fall 2017,Female
INTRO Summer 2017,Male
INTRO Summer 2017,Female
INTRO Fall 2015,Male
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2015,Female
INTRO Summer 2018,Female
INTRO Fall 2016,Female
INTRO Fall 2014,Male
INTRO Fall 2014,Female
INTRO Summer 2017,Female
INTRO Fall 2014,Female
INTRO Fall 2015,Male
INTRO Fall 2015,Female
INTRO Fall 2014,Female
INTRO Spring 2017,Male
INTRO Fall 2017,Female
INTRO Spring 2017,Female
INTRO Summer 2018,Female
INTRO Fall 2015,Female
INTRO Fall 2014,Female
INTRO Summer 2018,Female
INTRO Summer 2018,Male
INTRO Fall 2014,Male
INTRO Fall 2015,Female
INTRO Fall 2015,Male
INTRO Fall 2014,Male
INTRO Fall 2016,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Male
INTRO Fall 2016,
INTRO Fall 2015,
INTRO Spring 2017,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Summer 2018,Male
INTRO Fall 2014,Female
INTRO Fall 2015,
INTRO Fall 2015,Female
INTRO Fall 2015,
INTRO Fall 2016,Male
INTRO Fall 2015,Female
INTRO Spring 2017,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Summer 2017,Female
INTRO Fall 2014,Female
INTRO Fall 2015,Female
INTRO Summer 2018,Male
INTRO Spring 2017,Male
INTRO Fall 2014,Female
INTRO Fall 2015,Female
INTRO Spring 2017,Female
INTRO Spring 2017,Female
INTRO Fall 2014,Male
INTRO Fall 2015,Male
INTRO Fall 2014,Female
INTRO Fall 2015,Male
INTRO Summer 2017,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Male
INTRO Fall 2015,Female
INTRO Summer 2017,Female
INTRO Fall 2014,Female
INTRO Fall 2016,
INTRO Summer 2017,Female
INTRO Fall 2014,Female
INTRO Fall 2016,Female
INTRO Fall 2014,Female
INTRO Fall 2015,Male
INTRO Fall 2016,Male
INTRO Summer 2017,Male
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2015,Female
INTRO Fall 2014,Female
INTRO Fall 2015,Female
INTRO Fall 2015,Male
INTRO Summer 2018,Female
INTRO Fall 2014,Female
INTRO Spring 2017,Female
INTRO Fall 2015,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Male
INTRO Spring 2017,Female
INTRO Spring 2017,Female
INTRO Summer 2018,Female
INTRO Fall 2014,Male
INTRO Fall 2014,Female
INTRO Summer 2017,Female
INTRO Fall 2015,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Male
INTRO Summer 2017,
INTRO Fall 2015,Male
INTRO Fall 2016,Male
INTRO Fall 2017,Male
INTRO Summer 2018,Male
INTRO Summer 2018,Female
INTRO Summer 2017,Male
INTRO Spring 2017,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Summer 2018,Male
INTRO Fall 2014,Female
INTRO Fall 2015,Female
INTRO Summer 2017,Female
INTRO Spring 2017,Male
INTRO Fall 2015,Female
INTRO Summer 2018,Female
INTRO Fall 2015,Male
INTRO Fall 2015,Male
INTRO Fall 2014,Male
INTRO Fall 2014,Male
INTRO Spring 2017,Female
INTRO Fall 2014,Female
INTRO Fall 2017,Female
INTRO Fall 2017,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2015,Female
INTRO Fall 2014,Male
INTRO Fall 2015,Female
INTRO Fall 2014,Male
INTRO Fall 2015,Female
INTRO Fall 2014,Female
INTRO Summer 2018,Female
INTRO Fall 2015,Male
INTRO Summer 2017,Female
INTRO Fall 2014,Male
INTRO Fall 2015,Female
INTRO Fall 2015,Female
INTRO Fall 2016,Male
INTRO Fall 2014,Male
INTRO Fall 2016,Female
INTRO Fall 2014,Female
INTRO Fall 2016,Male
INTRO Fall 2014,Female
INTRO Fall 2016,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Male
INTRO Fall 2014,Female
INTRO Fall 2014,Male
INTRO Fall 2015,Male
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Spring 2017,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2015,Male
INTRO Fall 2016,Male
INTRO Fall 2014,Female
INTRO Fall 2015,Female
INTRO Summer 2017,Male
INTRO Summer 2018,Male
INTRO Summer 2017,Male
INTRO Fall 2014,Female
INTRO Fall 2015,Female
INTRO Fall 2014,Female
INTRO Spring 2017,Male
INTRO Spring 2017,Female
INTRO Fall 2015,Female
INTRO Fall 2014,Male
INTRO Fall 2015,Male
INTRO Fall 2016,Female
INTRO Fall 2014,Female
INTRO Fall 2016,
INTRO Fall 2015,Male
INTRO Fall 2014,Female
INTRO Summer 2018,Male
INTRO Fall 2014,Female
INTRO Summer 2017,Male
INTRO Fall 2015,Female
INTRO Fall 2014,Female
INTRO Fall 2017,Male
INTRO Summer 2018,Female
INTRO Fall 2015,Female
INTRO Fall 2015,Female
INTRO Fall 2015,Female
INTRO Fall 2015,Male
INTRO Fall 2015,Male
INTRO Spring 2017,Female
INTRO Fall 2014,Male
INTRO Fall 2014,Female
INTRO Fall 2017,Female
INTRO Summer 2018,Male
INTRO Fall 2014,Male
INTRO Fall 2016,
INTRO Fall 2017,Male
INTRO Spring 2017,Male
INTRO Summer 2018,Female
INTRO Fall 2014,Female
INTRO Fall 2015,Female
INTRO Fall 2015,Female
INTRO Fall 2017,Female
INTRO Summer 2017,Male
INTRO Fall 2017,Male
INTRO Fall 2017,Female
INTRO Fall 2014,Female
INTRO Fall 2015,Female
INTRO Summer 2018,Male
INTRO Fall 2014,Female
INTRO Fall 2015,Female
INTRO Fall 2017,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2015,Female
INTRO Fall 2015,Female
INTRO Fall 2016,Female
INTRO Summer 2017,Male
INTRO Fall 2014,Female
INTRO Fall 2015,Male
INTRO Summer 2017,Female
INTRO Fall 2017,Female
INTRO Fall 2015,Female
INTRO Fall 2015,
INTRO Fall 2015,Female
INTRO Fall 2017,Male
INTRO Fall 2016,Female
INTRO Fall 2015,Female
INTRO Fall 2014,Male
INTRO Fall 2014,Female
INTRO Fall 2015,Male
INTRO Fall 2015,Female
INTRO Fall 2014,Male
INTRO Fall 2016,Female
INTRO Fall 2014,Male
INTRO Spring 2017,Female
INTRO Fall 2014,Male
INTRO Fall 2014,Female
INTRO Fall 2016,Male
INTRO Summer 2018,Male
INTRO Fall 2015,Male
INTRO Fall 2014,Female
INTRO Summer 2018,Female
INTRO Spring 2017,Female
INTRO Fall 2014,Male
INTRO Fall 2016,Male
INTRO Fall 2016,Male
INTRO Fall 2014,Male
INTRO Fall 2015,Female
INTRO Spring 2017,Male
INTRO Fall 2014,Female
INTRO Fall 2017,Male
INTRO Spring 2017,Female
INTRO Fall 2014,Female
INTRO Fall 2014,Female
INTRO Fall 2016,Male
INTRO Fall 2014,Female
INTRO Summer 2018,Male
INTRO Spring 2017,Female
