course_name,activity_completed,activity_learner,activity_auditor,activity_weeks_engaged
ADV Spring 2017,0,0,0,0
ADV Spring 2017,1,1,0,6
ADV Spring 2017,0,1,1,6
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,1,1,3
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,1,1,0,6
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,1,1,3
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,1,1,0,6
ADV Spring 2017,1,1,0,6
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,2
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,1,1,0,6
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,1,1,0,6
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,1,0,6
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,1,1,2
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,1,1,2
ADV Spring 2017,0,0,0,1
ADV Spring 2017,1,1,0,6
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,1,1,0,6
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,1,1,2
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,1,0,4
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,1,0,6
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,1,1,0,4
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,1,1,0,6
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,1,0,6
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,2
ADV Spring 2017,1,1,0,6
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,1,1,4
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,1,0,6
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,2
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,2
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,2
ADV Spring 2017,0,0,0,0
ADV Spring 2017,1,1,0,6
ADV Spring 2017,0,1,1,2
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,1,0,4
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,2
ADV Spring 2017,1,1,0,6
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,1,1,0,6
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,1,1,3
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,1,1,3
ADV Spring 2017,1,1,0,6
ADV Spring 2017,0,0,0,0
ADV Spring 2017,1,1,0,6
ADV Spring 2017,1,1,0,6
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,1,0,6
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,2
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,1,1,3
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,1,0,4
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,1,1,2
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,1,0,4
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,1,1,0,6
ADV Spring 2017,1,1,0,6
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,1,0,6
ADV Spring 2017,0,0,0,0
ADV Spring 2017,1,1,0,6
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,1,1,0,6
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,1,1,3
ADV Spring 2017,0,1,0,6
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,2
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,1,1,0,6
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,2
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,1,1,6
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,3
ADV Spring 2017,0,1,0,6
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,2
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,1,1,0,6
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,2
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,1,0,6
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,1,1,2
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,1,0,6
ADV Spring 2017,0,1,0,4
ADV Spring 2017,1,1,0,6
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,2
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,1,1,3
ADV Spring 2017,0,1,0,6
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,1,1,0,4
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,1,1,2
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,2
ADV Spring 2017,0,0,0,1
ADV Spring 2017,1,1,0,6
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,1,1,0,6
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,1,1,0,5
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,2
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,1,1,3
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,1,1,0,6
ADV Spring 2017,0,1,0,5
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,1,0,6
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,2
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,1,1,0,6
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,2
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,1,1,3
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,2
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,1,0,4
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,1,0,5
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,1,1,3
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,1,1,3
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,1,1,5
ADV Spring 2017,0,1,1,3
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,1,0,6
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,2
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,2
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,1,1,6
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,1,1,2
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,1,1,5
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,1
ADV Spring 2017,0,0,0,0
ADV Spring 2017,0,0,0,0
ADV Spring 2018,0,0,0,0
ADV Spring 2018,0,0,0,0
ADV Spring 2018,0,0,0,1
ADV Spring 2018,0,0,0,1
ADV Spring 2018,0,0,0,0
ADV Spring 2018,0,0,0,1
ADV Spring 2018,0,0,0,1
ADV Spring 2018,0,0,0,0
ADV Spring 2018,0,0,0,0
ADV Spring 2018,0,0,0,0
ADV Spring 2018,0,0,0,0
ADV Spring 2018,0,0,0,0
ADV Spring 2018,0,0,0,0
